In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.006    0.000 rcsetup.py:928(validate_cycler)
        1    0.000    0.000    0.006    0.006 __init__.py:372(get_build_platform)
        1    0.000    0.000    0.006    0.006 decorators.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
      428    0.001    0.000    0.006    0.000 rcsetup.py:360(validate_color)
      141    0.001    0.000    0.006    0.000 deprecation.py:168(deprecate)
      372    0.001    0.000    0.006    0.000 __init__.py:1472(_fn)
        1    0.000    0.000    0.006    0.006 header.py:5(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:317(<module>)
        2    0.000    0.000    0.005    0.003 decorator.py:33(<module>)
       36    0.000    0.000    0.005    0.000 __init__.py:1329(_add_data_doc)
        1    0.000    0.000    0.005    0.005 chordal.py:7(<module>)
        1    0.000    0.000    0.005    0.005 connectivity.py:3(<module>)
      451    0.004    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
      554    0.002    0.000    0.005    0.000 __init__.py:670(add)
      796    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.005    0.005 defmatrix.py:1(<module>)
      126    0.005    0.000    0.005    0.000 {built-in method posix.getcwd}
      224    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
       42    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.005    0.005 version.py:4(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:155(_check_versions)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
       25    0.000    0.000    0.005    0.000 pyparsing.py:1250(setParseAction)
        1    0.000    0.000    0.005    0.005 mathtext.py:2275(Parser)
       27    0.000    0.000    0.005    0.000 pyparsing.py:1039(_trim_arity)
        1    0.000    0.000    0.005    0.005 __init__.py:71(<module>)
    32756    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
      616    0.002    0.000    0.005    0.000 version.py:305(__str__)
       26    0.000    0.000    0.005    0.000 pyparsing.py:1047(extract_stack)
        1    0.000    0.000    0.005    0.005 mathtext.py:2845(<lambda>)
        1    0.000    0.000    0.005    0.005 mathtext.py:2846(<listcomp>)
     1818    0.001    0.000    0.005    0.000 __init__.py:2045(<genexpr>)
        1    0.000    0.000    0.005    0.005 random_graphs.py:4(<module>)
      426    0.000    0.000    0.005    0.000 colors.py:129(is_color_like)
 1731/497    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.005    0.005 reduction.py:10(<module>)
      138    0.000    0.000    0.005    0.000 rcsetup.py:87(f)
      200    0.000    0.000    0.005    0.000 traceback.py:282(line)
        1    0.000    0.000    0.005    0.005 linalg.py:10(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:16(<module>)
        1    0.000    0.000    0.005    0.005 font_manager.py:1004(json_load)
        1    0.000    0.000    0.005    0.005 csr.py:1(<module>)
        1    0.000    0.000    0.005    0.005 jit.py:27(<module>)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
        2    0.000    0.000    0.004    0.002 __init__.py:19(<module>)
        1    0.000    0.000    0.004    0.004 hmac.py:4(<module>)
      685    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      150    0.000    0.000    0.004    0.000 linecache.py:15(getline)
     1415    0.001    0.000    0.004    0.000 re.py:172(match)
    31777    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.004    0.004 uarray.py:8(<module>)
     1173    0.004    0.000    0.004    0.000 version.py:474(_cmpkey)
